Time,Value
52.8,43.66630912
52.9,43.80432665
53,43.94156635
53.1,44.07516718
53.2,44.20840144
53.3,44.34273541
53.4,44.47708726
53.5,44.61193979
53.6,44.74392235
53.7,44.8715955
53.8,44.99900937
53.9,45.13035715
54,45.2624917
54.1,45.39435804
54.2,45.52126229
54.3,45.64709365
54.4,45.77610791
54.5,45.90485394
54.6,46.03172243
54.7,46.15549743
54.8,46.27987146
54.9,46.40496075
55,46.52871788
55.1,46.6555953
55.2,46.77764475
55.3,46.89636827
55.4,47.01863229
55.5,47.14029729
55.6,47.26322293
55.7,47.38274217
55.8,47.50102758
55.9,47.619313
56,47.73727655
56.1,47.8559196
56.2,47.97323942
56.3,48.08753729
56.4,48.20200503
56.5,48.3181268
56.6,48.43455255
56.7,48.55123758
56.8,48.6620754
56.9,48.77445996
57,48.88607562
57.1,48.99820089
57.2,49.11221266
57.3,49.22176301
57.4,49.33142066
57.5,49.44119453
57.6,49.5490104
57.7,49.65951741
57.8,49.76830781
57.9,49.87283349
58,49.97611642
58.1,50.08381605
58.2,50.1924634
58.3,50.29557645
58.4,50.39942265
58.5,50.49979091
58.6,50.60261786
58.7,50.70743859
58.8,50.81048012
58.9,50.91138482
59,51.00810528
59.1,51.10694468
59.2,51.20818913
59.3,51.3083607
59.4,51.40648484
59.5,51.50079131
59.6,51.59630477
59.7,51.69493854
59.8,51.79317892
59.9,51.88773572
60,51.98055804
60.1,52.0717442
60.2,52.16563046
60.3,52.25882828
60.4,52.35066712
60.5,52.44061053
60.6,52.52911448
60.7,52.62083709
60.8,52.71219313
60.9,52.80159116
61,52.8886199
61.1,52.97448635
61.2,53.06202471
61.3,53.15111876
61.4,53.2389164
61.5,53.32245827
61.6,53.40442657
61.7,53.48760188
61.8,53.57256532
61.9,53.65558863
62,53.73766422
62.1,53.81771922
62.2,53.8954407
62.3,53.97796333
62.4,54.05933261
62.5,54.1392982
62.6,54.21380997
62.7,54.29020822
62.8,54.36806381
62.9,54.44657207
63,54.52221036
63.1,54.59720492
63.2,54.67034876
63.3,54.74328697
63.4,54.82007861
63.5,54.89275753
63.6,54.96394336
63.7,55.03322482
63.8,55.10327518
63.9,55.17579317
64,55.24839163
64.1,55.31701148
64.2,55.38307428
64.3,55.449754
64.4,55.51646948
64.5,55.58637679
64.6,55.64972162
64.7,55.71371019
64.8,55.77503443
64.9,55.8391124
65,55.90492487
65.1,55.96844852
65.2,56.02831542
65.3,56.08954132
65.4,56.15058839
65.5,56.21261001
65.6,56.27380013
65.7,56.33060932
65.8,56.38658702
65.9,56.4438343
66,56.50413036
66.1,56.56142235
66.2,56.61647022
66.3,56.66970313
66.4,56.72339201
66.5,56.77742958
66.6,56.83235228
66.7,56.88536167
66.8,56.93559945
66.9,56.98373616
67,57.03582466
67.1,57.088539
67.2,57.13841021
67.3,57.18520582
67.4,57.23226964
67.5,57.28144348
67.6,57.33056366
67.7,57.37676024
67.8,57.4223578
67.9,57.46354759
68,57.50707984
68.1,57.5530529
68.2,57.59804249
68.3,57.63950944
68.4,57.67836571
68.5,57.71751702
68.6,57.76077211
68.7,57.80381262
68.8,57.84112215
68.9,57.87839592
69,57.91516006
69.1,57.95448124
69.2,57.99064636
69.3,58.02733004
69.4,58.06087554
69.5,58.09465349
69.6,58.12833309
69.7,58.16344321
69.8,58.19938481
69.9,58.23113322
70,58.25975239
70.1,58.28946233
70.2,58.31991434
70.3,58.35134983
70.4,58.38085413
70.5,58.40831101
70.6,58.43473077
70.7,58.46287608
70.8,58.49121809
70.9,58.51682425
71,58.54121447
71.1,58.56482685
71.2,58.58964622
71.3,58.61430466
71.4,58.63715708
71.5,58.65769386
71.6,58.67762268
71.7,58.69769454
71.8,58.7195009
71.9,58.73948336
72,58.75771344
72.1,58.77491534
72.2,58.79260898
72.3,58.81160796
72.4,58.82885456
72.5,58.84290934
72.6,58.85637403
72.7,58.8709116
72.8,58.8839829
